Arquivo,Offset,Rótulo
BMW M30B34 Motronic_modificado.bin,0x500,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x540,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x580,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x5C0,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x600,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x640,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x680,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x6C0,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x700,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x740,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x780,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x7C0,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x800,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x840,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0x880,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x8C0,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0x900,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0x940,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0x980,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0x9C0,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xA00,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xA40,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xA80,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0xAC0,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xB00,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xB40,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xB80,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xBC0,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xC00,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0xC40,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xC80,LIMITADOR
BMW M30B34 Motronic_modificado.bin,0xCC0,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0xD00,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xD40,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xD80,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xDC0,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xE00,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xE40,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xE80,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xEC0,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xF00,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xF40,INJEÇÃO
BMW M30B34 Motronic_modificado.bin,0xF80,DESCONHECIDO
BMW M30B34 Motronic_modificado.bin,0xFC0,DESCONHECIDO
